type	id	project_id	submitter_id	data_category	data_format	data_type	experimental_strategy	file_name	file_size	md5sum	object_id	core_metadata_collections.id	core_metadata_collections.submitter_id	read_groups.id#1	read_groups.submitter_id#1
submitted_aligned_reads	9bc1b1f2-8e37-41c2-a68a-128c9081da97	DCF-CCLE	G41727.U-937.5	Sequencing Data	BAM	Aligned Reads	RNA-Seq	G41727.U-937.5.bam	13635097636	57264021d008fa431fdf6dee2eb2095f	b7af5a15-9322-41e1-91e3-dba94250b583			6a316007-ff52-4a38-bd16-18ae0ae7ed84	U937_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE_rna_read_group
submitted_aligned_reads	1e78fdf3-0b1b-42eb-b75e-ff5631bcc5a1	DCF-CCLE	G26175.A172.2	Sequencing Data	BAM	Aligned Reads	RNA-Seq	G26175.A172.2.bam	13545145441	ebb2f751dc11d05e3e135f97b516a3ff	475ee576-04b9-458b-9cb7-549a2d743fc1			479830b9-b737-417c-a2b3-621719fc1cad	A172_CENTRAL_NERVOUS_SYSTEM_rna_read_group
submitted_aligned_reads	2c7ed1fa-f996-4f0e-b0bf-ddd646205993	DCF-CCLE	G27277.OVSAHO.1	Sequencing Data	BAM	Aligned Reads	RNA-Seq	G27277.OVSAHO.1.bam	13432881676	0932017f7c0a0efac76b1d71ca943144	b83c23fb-dafe-4c9e-9beb-ca83427edece			127bc615-947a-43ab-b26d-ab7ea6ffef93	OVSAHO_OVARY_rna_read_group
submitted_aligned_reads	81d903fb-29a6-4699-8e3a-a4dc27561ffc	DCF-CCLE	G25224.NCI-H2066.1	Sequencing Data	BAM	Aligned Reads	RNA-Seq	G25224.NCI-H2066.1.bam	12316797840	15bea966d89dc05d66155db9f24a3f33	d63cf932-77fa-43d8-9a87-811f231fb4cc			aaac4f4e-b818-46be-8355-0a7495cdb459	NCIH2066_LUNG_rna_read_group
submitted_aligned_reads	568c7930-b925-426e-bab2-ff92217efb27	DCF-CCLE	G28059.KMBC-2.1	Sequencing Data	BAM	Aligned Reads	RNA-Seq	G28059.KMBC-2.1.bam	11029085304	5ec3a99090452ebbf6c68b9f3e5b9c8f	8858906f-25dd-441c-a51d-6129447d1799			94e8f0f1-7e94-4570-9050-b90ecb5a933a	KMBC2_URINARY_TRACT_rna_read_group
submitted_aligned_reads	9d7fb63f-ec3b-4ac4-82d0-22cb292a729f	DCF-CCLE	G41738.T-47D.5	Sequencing Data	BAM	Aligned Reads	RNA-Seq	G41738.T-47D.5.bam	13587852289	e64e2a145db6b0f32334332bd5ffbb97	78ccee8d-9ba3-4236-83c1-51056df8dce2			2f645b2c-9a4a-4083-85d5-bf9da2f29093	T47D_BREAST_rna_read_group
submitted_aligned_reads	0f966c34-ef8f-4d4d-83a7-8f4adbe26b3a	DCF-CCLE	G27318.DEL.1	Sequencing Data	BAM	Aligned Reads	RNA-Seq	G27318.DEL.1.bam	16895024928	9026e253f774006c64ff445b6bd61863	a005c01f-ef62-48e1-860f-21a77887c212			9e2c7009-57e2-48f3-b6ab-8082876a795b	DEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE_rna_read_group
submitted_aligned_reads	dba885d3-70ef-4063-af62-ccca1f19bde4	DCF-CCLE	G27310.HCC1428.1	Sequencing Data	BAM	Aligned Reads	RNA-Seq	G27310.HCC1428.1.bam	21321866275	d03d5b2ea9d42674b5f459836d9b4319	e169d736-2cbb-42ae-82e8-24c3f8ae5b68			9d74d8d5-fc5c-4d37-ad1a-e139a18ced4f	HCC1428_BREAST_rna_read_group
submitted_aligned_reads	0652abff-4439-48a0-bf48-89cee9043444	DCF-CCLE	G28850.HUP-T3.3	Sequencing Data	BAM	Aligned Reads	RNA-Seq	G28850.HUP-T3.3.bam	14765084333	b47a1fe580ad345623955d8b686648be	71972164-8fbf-488e-b935-d0b1b992e6ea			52ad9e62-174c-4f67-a25e-a87cd7f7c62a	HUPT3_PANCREAS_rna_read_group
submitted_aligned_reads	24cec7f3-4eff-4431-926c-e17a11792d40	DCF-CCLE	G28539.NCI-H1755.1	Sequencing Data	BAM	Aligned Reads	RNA-Seq	G28539.NCI-H1755.1.bam	17339183424	0ba233b72add1f1ccc30dcc191fa92f6	8567ef6c-7698-4139-b275-f1f295a8182d			cd2a4c67-9992-404d-91e6-81cf53e5ddfc	NCIH1755_LUNG_rna_read_group
